filename,width,height,class,xmin,ymin,xmax,ymax
8055.jpg,1440,1920,needle,602,860,639,895
8055.jpg,1440,1920,needle,430,986,467,1026
8055.jpg,1440,1920,needle,598,1046,631,1087
8055.jpg,1440,1920,needle,648,953,687,994
8055.jpg,1440,1920,needle,524,1298,562,1343
8055.jpg,1440,1920,needle,633,1203,664,1248
8055.jpg,1440,1920,needle,730,1237,762,1275
8055.jpg,1440,1920,needle,736,1262,780,1304
8055.jpg,1440,1920,needle,797,1181,837,1229
8055.jpg,1440,1920,needle,1051,1172,1091,1217
8055.jpg,1440,1920,needle,713,874,751,917
8055.jpg,1440,1920,needle,898,914,934,962
8055.jpg,1440,1920,needle,1280,716,1316,766
8055.jpg,1440,1920,needle,1381,437,1418,492
8055.jpg,1440,1920,needle,1238,660,1263,703
8055.jpg,1440,1920,needle,1019,821,1050,861
8056.jpg,1440,1920,needle,396,1149,438,1193
8056.jpg,1440,1920,needle,267,945,306,984
8056.jpg,1440,1920,needle,444,994,485,1039
8056.jpg,1440,1920,needle,783,1134,826,1177
8056.jpg,1440,1920,needle,306,819,347,863
8056.jpg,1440,1920,needle,167,688,206,732
8056.jpg,1440,1920,needle,58,344,97,392
8056.jpg,1440,1920,needle,34,146,68,193
8056.jpg,1440,1920,needle,440,678,477,718
8056.jpg,1440,1920,needle,568,682,597,717
8056.jpg,1440,1920,needle,571,638,607,675
8056.jpg,1440,1920,needle,578,594,612,636
8056.jpg,1440,1920,needle,655,618,688,658
8056.jpg,1440,1920,needle,694,623,728,663
8056.jpg,1440,1920,needle,755,673,795,713
8056.jpg,1440,1920,needle,865,765,905,805
8056.jpg,1440,1920,needle,988,676,1030,718
8056.jpg,1440,1920,needle,1294,431,1331,482
8056.jpg,1440,1920,needle,1354,687,1391,727
8056.jpg,1440,1920,needle,1388,743,1424,784
8057.jpg,1440,1920,needle,187,333,231,379
8057.jpg,1440,1920,needle,214,515,253,565
8057.jpg,1440,1920,needle,116,503,154,556
8057.jpg,1440,1920,needle,45,564,86,614
8057.jpg,1440,1920,needle,383,670,418,707
8057.jpg,1440,1920,needle,239,922,280,965
8057.jpg,1440,1920,needle,336,1078,378,1119
8057.jpg,1440,1920,needle,351,968,385,1008
8057.jpg,1440,1920,needle,404,899,437,935
8057.jpg,1440,1920,needle,552,1012,588,1053
8057.jpg,1440,1920,needle,479,907,515,946
8057.jpg,1440,1920,needle,486,1222,521,1262
8057.jpg,1440,1920,needle,634,1297,671,1337
8057.jpg,1440,1920,needle,717,1285,753,1330
8057.jpg,1440,1920,needle,806,1207,833,1243
8057.jpg,1440,1920,needle,1123,916,1164,972
8057.jpg,1440,1920,needle,645,1084,676,1124
8057.jpg,1440,1920,needle,744,1003,777,1038
8057.jpg,1440,1920,needle,1293,881,1331,926
8057.jpg,1440,1920,needle,1390,904,1426,944
8058.jpg,1440,1920,needle,301,480,340,528
8058.jpg,1440,1920,needle,151,352,187,402
8058.jpg,1440,1920,needle,40,550,83,596
8058.jpg,1440,1920,needle,43,740,87,784
8058.jpg,1440,1920,needle,128,820,170,861
8058.jpg,1440,1920,needle,799,811,841,851
8058.jpg,1440,1920,needle,508,918,547,957
8058.jpg,1440,1920,needle,144,945,185,986
8058.jpg,1440,1920,needle,200,1034,235,1077
8058.jpg,1440,1920,needle,329,1154,368,1194
8058.jpg,1440,1920,needle,332,1238,373,1282
8058.jpg,1440,1920,needle,458,1115,497,1154
8058.jpg,1440,1920,needle,565,1059,604,1098
8058.jpg,1440,1920,needle,536,1384,572,1427
8058.jpg,1440,1920,needle,601,1403,638,1443
8058.jpg,1440,1920,needle,666,1416,706,1453
8058.jpg,1440,1920,needle,691,1381,727,1417
8058.jpg,1440,1920,needle,1186,1336,1226,1380
8058.jpg,1440,1920,needle,1235,1094,1275,1139
8058.jpg,1440,1920,needle,1376,863,1418,910
8059.jpg,1440,1920,needle,293,358,333,408
8059.jpg,1440,1920,needle,101,279,139,326
8059.jpg,1440,1920,needle,38,365,77,413
8059.jpg,1440,1920,needle,402,663,435,709
8059.jpg,1440,1920,needle,393,473,428,514
8059.jpg,1440,1920,needle,771,683,809,724
8059.jpg,1440,1920,needle,549,630,589,673
8059.jpg,1440,1920,needle,450,566,481,607
8059.jpg,1440,1920,needle,287,925,334,971
8059.jpg,1440,1920,needle,351,1123,392,1174
8059.jpg,1440,1920,needle,574,1358,610,1398
8059.jpg,1440,1920,needle,748,1254,788,1299
8059.jpg,1440,1920,needle,549,1173,592,1213
8059.jpg,1440,1920,needle,748,810,788,853
8059.jpg,1440,1920,needle,844,840,886,882
8059.jpg,1440,1920,needle,1130,881,1169,923
8059.jpg,1440,1920,needle,1264,980,1308,1028
8059.jpg,1440,1920,needle,1382,1120,1420,1165
8059.jpg,1440,1920,needle,1335,1377,1374,1424
8059.jpg,1440,1920,needle,226,571,266,616
8060.jpg,1440,1920,needle,106,905,160,960
8060.jpg,1440,1920,needle,205,984,251,1042
8060.jpg,1440,1920,needle,381,1064,423,1110
8060.jpg,1440,1920,needle,547,1092,593,1139
8060.jpg,1440,1920,needle,520,1370,563,1418
8060.jpg,1440,1920,needle,768,1554,813,1616
8060.jpg,1440,1920,needle,763,1287,808,1343
8060.jpg,1440,1920,needle,771,1088,816,1139
8060.jpg,1440,1920,needle,49,380,95,438
8060.jpg,1440,1920,needle,269,421,319,479
8060.jpg,1440,1920,needle,302,544,343,601
8060.jpg,1440,1920,needle,512,508,556,564
8060.jpg,1440,1920,needle,652,681,689,726
8060.jpg,1440,1920,needle,669,636,713,690
8060.jpg,1440,1920,needle,652,498,693,556
8060.jpg,1440,1920,needle,783,618,830,670
8060.jpg,1440,1920,needle,1040,1054,1085,1113
8060.jpg,1440,1920,needle,1263,1358,1309,1403
8060.jpg,1440,1920,needle,1344,1365,1388,1422
8060.jpg,1440,1920,needle,1102,999,1152,1044
8061.jpg,1440,1920,needle,372,628,408,670
8061.jpg,1440,1920,needle,703,675,742,718
8061.jpg,1440,1920,needle,1375,930,1411,974
8061.jpg,1440,1920,needle,1199,990,1238,1035
8061.jpg,1440,1920,needle,1295,1066,1334,1112
8061.jpg,1440,1920,needle,1332,1163,1372,1206
8061.jpg,1440,1920,needle,1079,1153,1119,1196
8061.jpg,1440,1920,needle,555,1106,588,1146
8061.jpg,1440,1920,needle,312,1154,353,1201
8061.jpg,1440,1920,needle,306,1248,348,1299
8061.jpg,1440,1920,needle,160,981,200,1022
8061.jpg,1440,1920,needle,491,798,530,837
8061.jpg,1440,1920,needle,300,776,336,816
8061.jpg,1440,1920,needle,160,364,194,411
8061.jpg,1440,1920,needle,64,156,98,210
8061.jpg,1440,1920,needle,112,136,145,187
8061.jpg,1440,1920,needle,497,1285,538,1326
8061.jpg,1440,1920,needle,573,1309,613,1348
8061.jpg,1440,1920,needle,867,1403,911,1445
8061.jpg,1440,1920,needle,600,1124,639,1165
8062.jpg,1440,1920,needle,222,767,263,816
8062.jpg,1440,1920,needle,436,778,474,821
8062.jpg,1440,1920,needle,515,783,555,824
8062.jpg,1440,1920,needle,618,704,653,750
8062.jpg,1440,1920,needle,457,885,495,926
8062.jpg,1440,1920,needle,330,1022,370,1064
8062.jpg,1440,1920,needle,299,1099,343,1143
8062.jpg,1440,1920,needle,459,1251,497,1293
8062.jpg,1440,1920,needle,552,1437,588,1481
8062.jpg,1440,1920,needle,682,1204,718,1245
8062.jpg,1440,1920,needle,718,1274,754,1312
8062.jpg,1440,1920,needle,640,1066,677,1110
8062.jpg,1440,1920,needle,194,240,230,288
8062.jpg,1440,1920,needle,41,203,74,250
8062.jpg,1440,1920,needle,1317,893,1360,942
8062.jpg,1440,1920,needle,1353,984,1396,1032
8062.jpg,1440,1920,needle,1314,1267,1353,1309
8062.jpg,1440,1920,needle,960,1494,1000,1536
8062.jpg,1440,1920,needle,1192,1175,1231,1223
8062.jpg,1440,1920,needle,1107,1110,1147,1159
8063.jpg,1440,1920,needle,269,1316,311,1376
8063.jpg,1440,1920,needle,197,1193,246,1242
8063.jpg,1440,1920,needle,171,928,220,981
8063.jpg,1440,1920,needle,117,750,155,812
8063.jpg,1440,1920,needle,165,572,209,623
8063.jpg,1440,1920,needle,59,430,102,482
8063.jpg,1440,1920,needle,198,474,243,517
8063.jpg,1440,1920,needle,327,300,366,348
8063.jpg,1440,1920,needle,235,81,271,128
8063.jpg,1440,1920,needle,1051,1105,1096,1152
8063.jpg,1440,1920,needle,1145,1033,1187,1082
8063.jpg,1440,1920,needle,1311,986,1355,1040
8063.jpg,1440,1920,needle,380,1226,427,1277
8063.jpg,1440,1920,needle,622,1347,664,1398
8063.jpg,1440,1920,needle,1374,1380,1421,1433
8063.jpg,1440,1920,needle,975,958,1020,1010
8063.jpg,1440,1920,needle,334,718,379,766
8063.jpg,1440,1920,needle,291,694,334,736
8063.jpg,1440,1920,needle,256,666,299,709
8063.jpg,1440,1920,needle,214,617,255,661
8064.jpg,1440,1920,needle,96,610,142,655
8064.jpg,1440,1920,needle,9,265,49,315
8064.jpg,1440,1920,needle,8,192,50,239
8064.jpg,1440,1920,needle,126,273,161,316
8064.jpg,1440,1920,needle,335,585,366,635
8064.jpg,1440,1920,needle,552,593,595,634
8064.jpg,1440,1920,needle,241,653,282,695
8064.jpg,1440,1920,needle,183,747,224,793
8064.jpg,1440,1920,needle,323,736,371,778
8064.jpg,1440,1920,needle,248,903,292,951
8064.jpg,1440,1920,needle,290,942,339,986
8064.jpg,1440,1920,needle,274,990,318,1034
8064.jpg,1440,1920,needle,304,1028,352,1075
8064.jpg,1440,1920,needle,318,1081,363,1133
8064.jpg,1440,1920,needle,815,1461,852,1520
8064.jpg,1440,1920,needle,1099,1328,1141,1386
8064.jpg,1440,1920,needle,1195,1394,1239,1455
8064.jpg,1440,1920,needle,1208,1235,1248,1289
8064.jpg,1440,1920,needle,1371,1264,1415,1325
8064.jpg,1440,1920,needle,349,125,383,179
8065.jpg,1440,1920,needle,249,1142,293,1196
8065.jpg,1440,1920,needle,513,1154,559,1205
8065.jpg,1440,1920,needle,401,1069,449,1121
8065.jpg,1440,1920,needle,297,1013,344,1064
8065.jpg,1440,1920,needle,234,979,280,1030
8065.jpg,1440,1920,needle,226,901,273,953
8065.jpg,1440,1920,needle,441,759,491,814
8065.jpg,1440,1920,needle,451,688,500,740
8065.jpg,1440,1920,needle,360,562,411,610
8065.jpg,1440,1920,needle,534,517,584,566
8065.jpg,1440,1920,needle,52,512,99,556
8065.jpg,1440,1920,needle,13,541,50,591
8065.jpg,1440,1920,needle,75,363,118,416
8065.jpg,1440,1920,needle,196,102,236,151
8065.jpg,1440,1920,needle,1303,842,1349,890
8065.jpg,1440,1920,needle,1381,974,1423,1020
8065.jpg,1440,1920,needle,1346,1205,1398,1259
8065.jpg,1440,1920,needle,1214,1419,1262,1481
8065.jpg,1440,1920,needle,1068,1221,1113,1269
8065.jpg,1440,1920,needle,331,975,380,1016
8066.jpg,1440,1920,needle,13,461,59,519
8066.jpg,1440,1920,needle,149,563,196,615
8066.jpg,1440,1920,needle,92,638,135,683
8066.jpg,1440,1920,needle,599,672,646,718
8066.jpg,1440,1920,needle,353,255,392,303
8066.jpg,1440,1920,needle,198,704,241,745
8066.jpg,1440,1920,needle,186,742,229,782
8066.jpg,1440,1920,needle,119,812,163,861
8066.jpg,1440,1920,needle,212,945,251,994
8066.jpg,1440,1920,needle,264,960,309,1006
8066.jpg,1440,1920,needle,385,887,432,930
8066.jpg,1440,1920,needle,435,943,479,988
8066.jpg,1440,1920,needle,430,1097,471,1146
8066.jpg,1440,1920,needle,517,1154,565,1198
8066.jpg,1440,1920,needle,527,996,572,1043
8066.jpg,1440,1920,needle,1025,1119,1071,1174
8066.jpg,1440,1920,needle,1283,1254,1327,1308
8066.jpg,1440,1920,needle,1252,1039,1300,1095
8066.jpg,1440,1920,needle,1003,977,1045,1033
8066.jpg,1440,1920,needle,1364,739,1410,787
8067.jpg,1440,1920,needle,176,610,220,661
8067.jpg,1440,1920,needle,498,685,539,725
8067.jpg,1440,1920,needle,552,720,592,763
8067.jpg,1440,1920,needle,427,775,466,824
8067.jpg,1440,1920,needle,138,870,179,919
8067.jpg,1440,1920,needle,198,1073,245,1123
8067.jpg,1440,1920,needle,294,1124,336,1172
8067.jpg,1440,1920,needle,492,1126,532,1170
8067.jpg,1440,1920,needle,662,1448,704,1497
8067.jpg,1440,1920,needle,568,1040,610,1084
8067.jpg,1440,1920,needle,725,1050,771,1097
8067.jpg,1440,1920,needle,1203,1276,1247,1332
8067.jpg,1440,1920,needle,1109,760,1154,802
8067.jpg,1440,1920,needle,1171,811,1209,854
8067.jpg,1440,1920,needle,1377,796,1413,843
8067.jpg,1440,1920,needle,1216,857,1255,902
8067.jpg,1440,1920,needle,234,328,273,375
8067.jpg,1440,1920,needle,300,330,341,375
8067.jpg,1440,1920,needle,464,400,500,444
8067.jpg,1440,1920,needle,40,57,80,110
8068.jpg,1440,1920,needle,49,662,85,713
8068.jpg,1440,1920,needle,133,273,169,322
8068.jpg,1440,1920,needle,118,111,146,150
8068.jpg,1440,1920,needle,412,452,446,495
8068.jpg,1440,1920,needle,205,566,236,610
8068.jpg,1440,1920,needle,246,618,282,659
8068.jpg,1440,1920,needle,530,606,560,651
8068.jpg,1440,1920,needle,389,805,429,849
8068.jpg,1440,1920,needle,341,883,386,926
8068.jpg,1440,1920,needle,543,922,586,961
8068.jpg,1440,1920,needle,538,956,583,998
8068.jpg,1440,1920,needle,415,1223,455,1272
8068.jpg,1440,1920,needle,709,1308,747,1350
8068.jpg,1440,1920,needle,825,1276,867,1321
8068.jpg,1440,1920,needle,980,1336,1017,1380
8068.jpg,1440,1920,needle,1185,1172,1225,1219
8068.jpg,1440,1920,needle,1119,1045,1158,1092
8068.jpg,1440,1920,needle,1244,986,1287,1027
8068.jpg,1440,1920,needle,1375,1048,1420,1100
8068.jpg,1440,1920,needle,862,854,904,892
8069.jpg,1440,1920,needle,138,835,172,881
8069.jpg,1440,1920,needle,149,672,185,720
8069.jpg,1440,1920,needle,18,458,57,500
8069.jpg,1440,1920,needle,110,257,142,302
8069.jpg,1440,1920,needle,307,625,352,672
8069.jpg,1440,1920,needle,412,588,451,633
8069.jpg,1440,1920,needle,366,903,401,944
8069.jpg,1440,1920,needle,394,816,433,860
8069.jpg,1440,1920,needle,552,1330,594,1378
8069.jpg,1440,1920,needle,592,852,626,895
8069.jpg,1440,1920,needle,636,815,674,860
8069.jpg,1440,1920,needle,631,673,667,720
8069.jpg,1440,1920,needle,1053,783,1088,827
8069.jpg,1440,1920,needle,809,831,842,868
8069.jpg,1440,1920,needle,1312,779,1351,824
8069.jpg,1440,1920,needle,1275,827,1314,869
8069.jpg,1440,1920,needle,1380,1044,1422,1092
8069.jpg,1440,1920,needle,1294,1276,1334,1319
8069.jpg,1440,1920,needle,1001,1071,1037,1114
8069.jpg,1440,1920,needle,1203,1160,1238,1207
8071.jpg,1440,1920,needle,121,818,162,871
8071.jpg,1440,1920,needle,210,809,250,855
8071.jpg,1440,1920,needle,238,851,284,895
8071.jpg,1440,1920,needle,265,685,307,731
8071.jpg,1440,1920,needle,366,767,410,815
8071.jpg,1440,1920,needle,456,908,500,957
8071.jpg,1440,1920,needle,346,1019,391,1066
8071.jpg,1440,1920,needle,1365,1141,1405,1189
8071.jpg,1440,1920,needle,1337,1066,1381,1112
8071.jpg,1440,1920,needle,1365,1019,1404,1061
8071.jpg,1440,1920,needle,1290,931,1331,976
8071.jpg,1440,1920,needle,1246,873,1285,914
8071.jpg,1440,1920,needle,1222,820,1262,865
8071.jpg,1440,1920,needle,1154,829,1187,863
8071.jpg,1440,1920,needle,1289,1007,1332,1049
8071.jpg,1440,1920,needle,41,160,73,206
8071.jpg,1440,1920,needle,116,181,148,222
8071.jpg,1440,1920,needle,158,246,193,291
8071.jpg,1440,1920,needle,363,449,398,489
8071.jpg,1440,1920,needle,406,495,440,531
8073.jpg,1440,1920,needle,23,448,53,488
8073.jpg,1440,1920,needle,183,678,218,721
8073.jpg,1440,1920,needle,921,1356,959,1395
8073.jpg,1440,1920,needle,924,1261,957,1299
8073.jpg,1440,1920,needle,711,986,741,1024
8073.jpg,1440,1920,needle,866,856,893,897
8073.jpg,1440,1920,needle,1211,564,1247,600
8073.jpg,1440,1920,needle,1194,612,1230,651
8073.jpg,1440,1920,needle,264,753,292,789
8073.jpg,1440,1920,needle,288,813,312,849
8073.jpg,1440,1920,needle,394,1006,424,1038
8073.jpg,1440,1920,needle,759,1103,793,1141
8073.jpg,1440,1920,needle,1147,672,1180,706
8073.jpg,1440,1920,needle,1241,647,1275,685
8073.jpg,1440,1920,needle,1205,704,1241,739
8073.jpg,1440,1920,needle,1263,696,1299,736
8073.jpg,1440,1920,needle,1342,674,1375,715
8073.jpg,1440,1920,needle,1318,727,1343,762
8073.jpg,1440,1920,needle,1388,727,1420,764
8073.jpg,1440,1920,needle,1011,867,1043,904
8074.jpg,1440,1920,needle,344,1296,383,1333
8074.jpg,1440,1920,needle,1043,1186,1084,1222
8074.jpg,1440,1920,needle,670,1532,711,1569
8074.jpg,1440,1920,needle,388,1078,422,1118
8074.jpg,1440,1920,needle,572,928,610,972
8074.jpg,1440,1920,needle,566,682,601,723
8074.jpg,1440,1920,needle,192,823,231,864
8074.jpg,1440,1920,needle,154,741,191,781
8074.jpg,1440,1920,needle,56,594,93,636
8074.jpg,1440,1920,needle,105,207,137,253
8074.jpg,1440,1920,needle,369,541,404,581
8074.jpg,1440,1920,needle,1021,664,1048,708
8074.jpg,1440,1920,needle,1043,674,1069,721
8074.jpg,1440,1920,needle,1179,581,1212,629
8074.jpg,1440,1920,needle,1282,642,1319,677
8074.jpg,1440,1920,needle,1187,763,1222,803
8074.jpg,1440,1920,needle,1063,908,1103,943
8074.jpg,1440,1920,needle,1376,747,1414,790
8074.jpg,1440,1920,needle,1370,824,1402,870
8075.jpg,1440,1920,needle,73,483,105,525
8075.jpg,1440,1920,needle,275,456,310,496
8075.jpg,1440,1920,needle,111,576,150,614
8075.jpg,1440,1920,needle,837,669,876,708
8075.jpg,1440,1920,needle,404,909,433,945
8075.jpg,1440,1920,needle,650,809,684,849
8075.jpg,1440,1920,needle,416,673,451,709
8075.jpg,1440,1920,needle,419,1047,454,1086
8075.jpg,1440,1920,needle,209,1105,244,1145
8075.jpg,1440,1920,needle,24,691,57,728
8075.jpg,1440,1920,needle,985,1098,1019,1140
8075.jpg,1440,1920,needle,1085,1090,1121,1129
8075.jpg,1440,1920,needle,1010,571,1045,610
8075.jpg,1440,1920,needle,1135,504,1172,541
8075.jpg,1440,1920,needle,1077,610,1115,649
8075.jpg,1440,1920,needle,1250,508,1286,547
8075.jpg,1440,1920,needle,1296,566,1330,602
8075.jpg,1440,1920,needle,1197,629,1230,666
8075.jpg,1440,1920,needle,1205,701,1235,734
8075.jpg,1440,1920,needle,1381,633,1412,672
8076.jpg,1440,1920,needle,55,470,88,511
8076.jpg,1440,1920,needle,418,717,452,758
8076.jpg,1440,1920,needle,343,758,372,795
8076.jpg,1440,1920,needle,359,876,389,919
8076.jpg,1440,1920,needle,326,1045,360,1085
8076.jpg,1440,1920,needle,445,1252,483,1298
8076.jpg,1440,1920,needle,596,1224,627,1264
8076.jpg,1440,1920,needle,890,1124,926,1162
8076.jpg,1440,1920,needle,1130,1047,1166,1086
8076.jpg,1440,1920,needle,1232,1147,1265,1187
8076.jpg,1440,1920,needle,963,976,997,1016
8076.jpg,1440,1920,needle,1189,909,1224,942
8076.jpg,1440,1920,needle,1140,581,1174,622
8076.jpg,1440,1920,needle,1250,654,1286,692
8076.jpg,1440,1920,needle,1159,732,1194,768
8076.jpg,1440,1920,needle,1295,709,1330,749
8076.jpg,1440,1920,needle,1266,769,1301,809
8076.jpg,1440,1920,needle,1390,792,1422,829
8076.jpg,1440,1920,needle,1382,861,1416,899
8076.jpg,1440,1920,needle,1378,935,1414,972
8077.jpg,1440,1920,needle,1267,655,1305,694
8077.jpg,1440,1920,needle,1396,803,1433,844
8077.jpg,1440,1920,needle,1152,836,1189,872
8077.jpg,1440,1920,needle,1300,895,1332,926
8077.jpg,1440,1920,needle,1077,909,1108,941
8077.jpg,1440,1920,needle,1233,957,1267,994
8077.jpg,1440,1920,needle,1200,1013,1233,1050
8077.jpg,1440,1920,needle,1025,1024,1059,1057
8077.jpg,1440,1920,needle,844,995,879,1029
8077.jpg,1440,1920,needle,1054,1073,1085,1104
8077.jpg,1440,1920,needle,877,1096,909,1133
8077.jpg,1440,1920,needle,742,1179,771,1211
8077.jpg,1440,1920,needle,997,1179,1027,1212
8077.jpg,1440,1920,needle,366,996,399,1034
8077.jpg,1440,1920,needle,270,781,298,820
8077.jpg,1440,1920,needle,360,847,391,888
8077.jpg,1440,1920,needle,32,141,64,185
8077.jpg,1440,1920,needle,163,240,193,289
8077.jpg,1440,1920,needle,302,391,333,435
8077.jpg,1440,1920,needle,258,434,290,475
8078.jpg,1440,1920,needle,61,731,100,772
8078.jpg,1440,1920,needle,40,1115,74,1159
8078.jpg,1440,1920,needle,208,1214,244,1259
8078.jpg,1440,1920,needle,333,1325,364,1365
8078.jpg,1440,1920,needle,418,1192,450,1228
8078.jpg,1440,1920,needle,661,1476,694,1516
8078.jpg,1440,1920,needle,794,1549,826,1592
8078.jpg,1440,1920,needle,909,1524,946,1560
8078.jpg,1440,1920,needle,981,807,1013,849
8078.jpg,1440,1920,needle,1185,652,1215,695
8078.jpg,1440,1920,needle,1152,802,1185,844
8078.jpg,1440,1920,needle,1278,684,1308,728
8078.jpg,1440,1920,needle,1262,803,1296,848
8078.jpg,1440,1920,needle,1387,603,1420,649
8078.jpg,1440,1920,needle,1300,998,1331,1033
8078.jpg,1440,1920,needle,1243,1041,1274,1078
8078.jpg,1440,1920,needle,1075,1107,1104,1138
8078.jpg,1440,1920,needle,1048,1309,1083,1346
8078.jpg,1440,1920,needle,979,1429,1014,1472
8078.jpg,1440,1920,needle,479,1375,509,1420
8079.jpg,1440,1920,needle,12,756,45,816
8079.jpg,1440,1920,needle,46,777,84,821
8079.jpg,1440,1920,needle,193,617,234,668
8079.jpg,1440,1920,needle,400,1436,440,1494
8079.jpg,1440,1920,needle,917,1293,962,1341
8079.jpg,1440,1920,needle,987,1192,1024,1234
8079.jpg,1440,1920,needle,1002,573,1035,617
8079.jpg,1440,1920,needle,1026,583,1065,625
8079.jpg,1440,1920,needle,1159,545,1197,590
8079.jpg,1440,1920,needle,1305,430,1344,472
8079.jpg,1440,1920,needle,1365,522,1402,562
8079.jpg,1440,1920,needle,1150,623,1185,656
8079.jpg,1440,1920,needle,1187,629,1224,669
8079.jpg,1440,1920,needle,1257,660,1294,699
8079.jpg,1440,1920,needle,1331,709,1369,745
8079.jpg,1440,1920,needle,1292,814,1326,854
8079.jpg,1440,1920,needle,997,727,1031,762
8079.jpg,1440,1920,needle,1155,726,1192,763
8079.jpg,1440,1920,needle,1036,944,1068,983
8079.jpg,1440,1920,needle,1016,920,1050,960
8169.jpg,1440,1920,needle,318,1156,372,1204
8169.jpg,1440,1920,needle,254,1124,310,1175
8169.jpg,1440,1920,needle,268,1087,314,1129
8169.jpg,1440,1920,needle,299,1062,362,1109
8169.jpg,1440,1920,needle,290,1020,357,1064
8169.jpg,1440,1920,needle,305,985,365,1026
8169.jpg,1440,1920,needle,285,945,350,993
8169.jpg,1440,1920,needle,301,889,357,936
8169.jpg,1440,1920,needle,362,855,415,901
8169.jpg,1440,1920,needle,338,830,389,871
8169.jpg,1440,1920,needle,300,802,353,854
8169.jpg,1440,1920,needle,352,756,409,805
8169.jpg,1440,1920,needle,373,688,431,741
8169.jpg,1440,1920,needle,984,809,1035,862
8169.jpg,1440,1920,needle,995,855,1048,902
8169.jpg,1440,1920,needle,1014,488,1069,545
8169.jpg,1440,1920,needle,1010,548,1065,602
8169.jpg,1440,1920,needle,1282,653,1339,712
8169.jpg,1440,1920,needle,969,950,1023,1006
8169.jpg,1440,1920,needle,1077,999,1134,1055
8172.jpg,1440,1920,needle,22,1264,83,1324
8172.jpg,1440,1920,needle,126,1219,192,1283
8172.jpg,1440,1920,needle,106,1158,167,1226
8172.jpg,1440,1920,needle,152,1090,207,1140
8172.jpg,1440,1920,needle,171,1042,219,1097
8172.jpg,1440,1920,needle,104,1018,158,1081
8172.jpg,1440,1920,needle,233,1094,291,1141
8172.jpg,1440,1920,needle,297,1193,356,1252
8172.jpg,1440,1920,needle,378,1415,435,1479
